description,NCES_School_ID,Street Address,City,State,ZIP,Final,latitude,longitude
LAFAYETTE ELEMENTARY,510151002468,3 Learning Lane,Fredericksburg,VA,22401,3 Learning Lane Fredericksburg VA 22401,38.275414,-77.4903623
WALKER-GRANT MIDDLE,510151002612,One Learning Lane,Fredericksburg,VA,22401,One Learning Lane Fredericksburg VA 22401,38.2737388,-77.4897276
WALKER-GRANT EARLY CHILDHOOD CENTER,510151002274,210 Ferdinand Street,Fredericksburg,VA,22401,210 Ferdinand Street Fredericksburg VA 22401,38.29386,-77.4586198
GALAX ELEMENTARY,510156000665,300 McArthur Street,Galax,VA,24333,300 McArthur Street Galax VA 24333,36.6584847,-80.925023
GALAX HIGH,510156000301,200 Maroon Tide Dr,Galax,VA,24333,200 Maroon Tide Dr Galax VA 24333,36.6546074,-80.9247052
GALAX MIDDLE,510156000356,202 Maroon Tide Dr,Galax,VA,24333,202 Maroon Tide Dr Galax VA 24333,36.6547136,-80.9232335
EASTERN ELEMENTARY/MIDDLE,,,,,,   ,,
GILES HIGH,510159000669,1825 Wenonah Avenue,Pearisburg,VA,24134,1825 Wenonah Avenue Pearisburg VA 24134,37.3277996,-80.7045485
MACY MCCLAUGHERTY ELEMENTARY/MIDDLE,510159000671,1001 Henson Ave,Pearisburg,VA,24134,1001 Henson Ave Pearisburg VA 24134,37.3247014,-80.7282846
NARROWS ELEMENTARY/MIDDLE,,,,,,   ,,
NARROWS HIGH,510159000673,1 Green Wave Lane,Narrows,VA,24124,1 Green Wave Lane Narrows VA 24124,37.3377548,-80.8052707
EASTERN ELEMENTARY/MIDDLE,510159001920,6899 Virginia Ave,Pembroke,VA,24136,6899 Virginia Ave Pembroke VA 24136,37.3137801,-80.5802108
GILES COUNTY TECH. CENTER,510159000668,1827 Wenonah Avenue,Pearisburg,VA,24134,1827 Wenonah Avenue Pearisburg VA 24134,37.3287386,-80.7038554
NARROWS ELEMENTARY/MIDDLE,510159000672,401 Wolf St,Narrows,VA,24124,401 Wolf St Narrows VA 24124,37.3268757,-80.8131232
ABINGDON ELEMENTARY,510162000677,7087 Powhatan Drive,Hayes,VA,23072,7087 Powhatan Drive Hayes VA 23072,37.2918403,-76.5135056
ACHILLES ELEMENTARY,510162000678,9306 Guinea Road,Hayes,VA,23072,9306 Guinea Road Hayes VA 23072,37.2782927,-76.4419377
BETHEL ELEMENTARY,510162001616,2991 Hickory Fork Rd,Gloucester,VA,23061,2991 Hickory Fork Rd Gloucester VA 23061,37.4105414,-76.605618
BOTETOURT ELEMENTARY,510162000679,6361 Main Street,Gloucester,VA,23061,6361 Main Street Gloucester VA 23061,37.4167213,-76.5341012
GLOUCESTER HIGH,510162000680,6680 Short Lane,Gloucester,VA,23061,6680 Short Lane Gloucester VA 23061,37.3817167,-76.5244847
PAGE MIDDLE,510162003022,5198 TC Walker Rd,Gloucester,VA,23061,5198 TC Walker Rd Gloucester VA 23061,37.3626442,-76.5214551
PEASLEY MIDDLE,510162002188,2885 Hickory Fork Road,Gloucester,VA,23061,2885 Hickory Fork Road Gloucester VA 23061,37.4129303,-76.6071527
PETSWORTH ELEMENTARY,510162002065,10658 Geo Washington Mem Hwy,Gloucester,VA,23061,10658 Geo Washington Mem Hwy Gloucester VA 23061,37.3591649,-76.5239825
GLOUCESTER & MATHEWS COUNTIES GOV'S HEALTH SCIENCES ACADEMY,510162002975,6099 T.C. Walker Road,Gloucester,VA,23061,6099 T.C. Walker Road Gloucester VA 23061,37.3789889,-76.5082659
BYRD ELEMENTARY,510165000683,2704 Hadensville Fife Rd,Goochland,VA,23063,2704 Hadensville Fife Rd Goochland VA 23063,37.7571444,-78.057838
GOOCHLAND ELEMENTARY,510165000685,3150 River Road West,Goochland,VA,23063,3150 River Road West Goochland VA 23063,37.6963137,-77.8898713
GOOCHLAND HIGH,510165000686,3250A River Road West,Goochland,VA,23063,3250A River Road West Goochland VA 23063,37.7000386,-77.8965682
GOOCHLAND MIDDLE,510165000687,3250B River Road West,Goochland,VA,23063,3250B River Road West Goochland VA 23063,37.7000386,-77.8965682
RANDOLPH ELEMENTARY,510165000689,1552 Sheppard Town Rd,Crozier,VA,23039,1552 Sheppard Town Rd Crozier VA 23039,37.685335,-77.7955357
FAIRVIEW ELEMENTARY,510169000693,2323 Fairview Rd,Galax,VA,24333,2323 Fairview Rd Galax VA 24333,36.583878,-80.91013
FRIES ELEMENTARY,510169002747,PO Box 446,Fries,VA,24330,PO Box 446 Fries VA 24330,36.7162368,-80.9786923
GRAYSON COUNTY HIGH,510169000697,PO Box 828,Independence,VA,24348,PO Box 828 Independence VA 24348,36.6223478,-81.150923
