CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population,county
51041,33.70422535211268,31.676056338028168,51.08450704225352,40.521126760563384,31.014084507042252,37.859154929577464,30.633802816901408,43.605633802816904,-0.5476612706197184,0.08250727284507042,0.14464259949295777,0.0920010781112676,0.05301847991830986,0.03321835537464789,0.26962576246478875,0.01653786969859155,339447,Chesterfield County
51043,39.0,46.0,31.0,55.666666666666664,49.333333333333336,34.666666666666664,27.0,34.666666666666664,-0.3527225053333333,0.10132866566666666,0.08612954900000001,0.10855045133333334,0.036895283833333334,0.046933446999999996,0.22842700666666668,0.0096717955,14365,Clarke County
51045,29.0,39.0,13.0,39.0,63.0,46.0,1.0,5.0,-0.64314729,0.085361071,0.048270892,0.074897751,0.014625229,0.064872019,0.27802294,0.0,5113,Craig County
51047,46.0,35.25,47.0,69.25,46.75,37.625,60.625,48.875,-0.1404407355,0.083989601875,0.12487427237500001,0.155159664875,0.05902783375,0.0491152317875,0.25619605125,0.03481255355,50450,Culpeper County
51049,69.5,75.0,56.5,77.0,72.0,45.0,33.0,69.5,0.54288435,0.19042777,0.13198136500000002,0.182807195,0.0704671445,0.085062083,0.27600826,0.00989067395,9786,Cumberland County
51051,69.25,83.5,40.5,87.25,79.25,36.0,25.75,55.0,0.532886815,0.240232985,0.10458649775000001,0.24770202749999998,0.05824282475,0.1084808225,0.23123957,0.00675198305,14960,Dickenson County
51053,56.0,61.333333333333336,45.833333333333336,76.16666666666667,47.5,38.666666666666664,25.666666666666668,71.66666666666667,0.15672045816666666,0.1424682114285714,0.10105094785714286,0.15706377857142859,0.06587601771428572,0.039777894142857144,0.21733423714285713,0.007499856785714286,28308,Dinwiddie County
51057,57.0,54.0,70.66666666666667,75.33333333333333,41.666666666666664,46.666666666666664,40.0,46.0,0.20249282999999998,0.137928743,0.17286693,0.17200735999999997,0.054980907,0.042692706,0.29664889333333333,0.017605085333333336,11036,Essex County
51059,28.687258687258687,22.7992277992278,32.67567567567568,32.42084942084942,34.27413127413127,39.86486486486486,44.316602316602314,35.343629343629345,-0.7393661186061776,0.05837122630383142,0.08668466449118775,0.07454227066015326,0.0417227720440613,0.03940355426666667,0.29003090458965514,0.03103572254463602,1153851,Fairfax County
51061,22.235294117647058,26.0,30.647058823529413,39.64705882352941,27.058823529411764,27.941176470588236,20.352941176470587,28.41176470588235,-0.8857086581764706,0.06276246435294118,0.08467685505882354,0.07796821441176471,0.034828827911764705,0.02490339232352941,0.1953428855882353,0.007932726070588236,69115,Fauquier County
